CMDLINE /usr/bin/python3 #Task_Three.py
MEM 5.000000 1743095243.1923
MEM 28.000000 1743095243.2926
MEM 50.000000 1743095243.3929
MEM 58.000000 1743095243.4932
MEM 66.000000 1743095243.5935
MEM 77.000000 1743095243.6938
MEM 81.000000 1743095243.7942
MEM 87.000000 1743095243.8945
MEM 97.000000 1743095243.9948
MEM 174.628906 1743095244.0951
MEM 509.691406 1743095244.1954
MEM 1076.648438 1743095244.2957
MEM 1290.648438 1743095244.3961
MEM 955.992188 1743095244.4964
MEM 987.992188 1743095244.5967
MEM 1021.992188 1743095244.6970
MEM 1053.992188 1743095244.7973
MEM 1087.992188 1743095244.8977
MEM 1119.992188 1743095244.9980
MEM 1151.992188 1743095245.0983
MEM 1185.992188 1743095245.1986
MEM 1217.992188 1743095245.2989
MEM 1251.992188 1743095245.3993
MEM 1283.992188 1743095245.4996
MEM 1315.992188 1743095245.5999
MEM 1349.992188 1743095245.7002
MEM 1381.992188 1743095245.8005
MEM 1415.992188 1743095245.9009
MEM 1447.992188 1743095246.0012
MEM 1479.992188 1743095246.1015
MEM 1513.992188 1743095246.2019
MEM 1545.992188 1743095246.3022
MEM 1577.992188 1743095246.4025
MEM 1611.992188 1743095246.5028
MEM 1643.992188 1743095246.6031
MEM 1675.992188 1743095246.7034
MEM 1709.992188 1743095246.8038
MEM 1741.992188 1743095246.9041
MEM 1775.992188 1743095247.0044
MEM 1807.992188 1743095247.1047
MEM 1839.992188 1743095247.2050
MEM 1873.992188 1743095247.3054
MEM 1905.992188 1743095247.4057
MEM 1938.812500 1743095247.5060
MEM 1972.812500 1743095247.6063
MEM 2004.812500 1743095247.7067
